source_key,company_name,registration_id,legal_name,trade_name,parent_name,company_type,industry,segment,status,country,region,city,postal_code,street,building,suite,branch_code,website,email,phone,tax_id,vat_status,currency,language,time_zone,founded,employee_band,revenue_band,credit_grade,payment_terms,customer_since,last_verified,updated_at,crm_system,account_status,account_owner,billing_country,shipping_country,risk_rating,compliance_status,contract_type,renewal_month,support_tier,sales_region,customer_tier,preferred_channel,import_batch,legacy_account_id,notes
REF-003203,Nørdlys Glenwick Robotics Pune Pvt Ltd,IN-SYN-003203,Nørdlys Glenwick Robotics Pune Pvt Ltd,Glenwick Robotics,Glenwick Group,Pvt Ltd,Robotics,Enterprise,Active,IN,Maharashtra,Pune,411001,Sample Tech Road,19,B6,IN-211,https://c003203.example,crm@c003203.example,TEST-003203,TEST-TAX-003203,Registered,INR,en,Asia/Kolkata,2000,51-250,5-25m,B1,NET45,2020-11-15,2025-11-20,2026-03-03,Atlas CRM,Current,Team 8,IN,DE,Medium,Cleared,Rolling,2027-11,Priority,APAC,Growth,Portal,REF-2026,LEG-003203,Synthetic account
REF-005835,Wynford Distribution München GmbH,DE-SYN-005835,Wynford Distribution München GmbH,Wynford Distribution,Wynford Group,GmbH,Distribution,Midmarket,Active,DE,Bayern,München,80331,Industriestraße,64,B16,DE-849,https://c005835.example,crm@c005835.example,TEST-005835,TEST-TAX-005835,Registered,EUR,de,Europe/Berlin,1980,1000+,100m+,B1,NET60,2020-03-15,2025-03-20,2026-03-03,Atlas CRM,Current,Team 3,DE,GB,High,Cleared,Project,2027-03,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-005835,Synthetic account
REF-003807,Solmere Diagnostics Portland LLC,US-SYN-003807,Solmere Diagnostics Portland LLC,Solmere Diagnostics,Solmere Group,LLC,Diagnostics,Midmarket,Active,US,Oregon,Portland,97201,Example Park,26,B12,US-815,https://c003807.example,crm@c003807.example,TEST-003807,TEST-TAX-003807,Registered,USD,en,America/Los_Angeles,1980,11-50,1-5m,B1,NET60,2022-03-15,2025-03-20,2026-07-03,Atlas CRM,On hold,Team 9,US,GB,High,Cleared,Project,2027-03,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-003807,Synthetic account
REF-000377,Iverna Materials Portland LLC,US-SYN-000377,Iverna Materials Portland LLC,Iverna Materials,Iverna Group,LLC,Materials,Enterprise,Active,US,Oregon,Portland,97201,Example Park,178,B9,US-376,https://c000377.example,crm@c000377.example,TEST-000377,TEST-TAX-000377,Registered,USD,en,America/Los_Angeles,1982,11-50,1-5m,A1,NET45,2022-05-15,2025-05-20,2026-01-03,Atlas CRM,Current,Team 8,US,AE,Medium,Cleared,Rolling,2027-05,Priority,APAC,Growth,Portal,REF-2026,LEG-000377,Synthetic account
REF-002901,Umber Robotics Mérida SA,MX-SYN-002901,Umber Robotics Mérida SA,Umber Robotics,Umber Group,SA,Robotics,Midmarket,Active,MX,Yucatán,Mérida,97000,Calle del Taller,115,B3,MX-906,https://c002901.example,crm@c002901.example,TEST-002901,TEST-TAX-002901,Registered,MXN,es,America/Merida,2010,1-10,<1m,A1,NET60,2012-09-15,2025-09-20,2026-05-03,Atlas CRM,Current,Team 3,MX,SG,High,Cleared,Project,2027-09,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-002901,Synthetic account
REF-002959,Ismere Materials Portland LLC,US-SYN-002959,Ismere Materials Portland LLC,Ismere Materials,Ismere Group,LLC,Materials,SMB,Dormant,US,Oregon,Portland,97201,Example Park,173,B15,US-964,https://c002959.example,crm@c002959.example,TEST-002959,TEST-TAX-002959,Exempt,USD,en,America/Los_Angeles,2016,251-1000,25-100m,B1,NET30,2014-07-15,2025-07-20,2026-07-03,Atlas CRM,Current,Team 7,US,SE,Low,Cleared,Annual,2027-07,Standard,EMEA,Core,Portal,REF-2026,LEG-002959,Synthetic account
REF-002273,Quenby Robotics München GmbH,DE-SYN-002273,Quenby Robotics München GmbH,Quenby Robotics,Quenby Group,GmbH,Robotics,Enterprise,Active,DE,Bayern,München,80331,Industriestraße,84,B19,DE-278,https://c002273.example,crm@c002273.example,TEST-002273,TEST-TAX-002273,Registered,EUR,de,Europe/Berlin,2006,51-250,5-25m,A1,NET45,2014-05-15,2025-05-20,2026-01-03,Atlas CRM,Current,Team 5,DE,AE,Medium,Cleared,Rolling,2027-05,Priority,APAC,Growth,Portal,REF-2026,LEG-002273,Synthetic account
REF-005591,Zelwick Textiles North Service Centre,DUP-SYN-000146,Zelwick Textiles North Service Centre,Zelwick Textiles,Zelwick Textiles Holdings,AB,Controls,Enterprise,Active,SE,Västra Götaland,Göteborg,411 01,Verkstadsgatan,19,B2,SE-605,https://group000145.example,crm@c005591.example,TEST-005591,TEST-TAX-005591,Registered,SEK,sv,Europe/Stockholm,1996,1-10,<1m,B1,NET45,2014-11-15,2025-11-20,2026-07-03,Atlas CRM,Current,Team 2,SE,DE,Medium,Cleared,Rolling,2027-11,Priority,APAC,Growth,Portal,REF-2026,LEG-005591,"Synthetic; multiline
CRM note"
REF-005578,Solmere Textiles South Service Centre,DUP-SYN-000139,Solmere Textiles South Service Centre,Solmere Textiles,Solmere Textiles Holdings,GmbH,Packaging,SMB,Active,DE,Bayern,München,80331,Industriestraße,6,B12,DE-592,https://group000138.example,crm@c005578.example,TEST-005578,TEST-TAX-005578,Registered,EUR,de,Europe/Berlin,1983,51-250,5-25m,A2,NET30,2015-10-15,2025-10-20,2026-02-03,Atlas CRM,On hold,Team 7,DE,CH,Low,Cleared,Annual,2027-10,Standard,EMEA,Core,Email,REF-2026,LEG-005578,"Synthetic; multiline
CRM note"
REF-002280,Riverton Networks Zürich AG,CH-SYN-002280,Riverton Networks Zürich AG,Riverton Networks,Riverton Group,AG,Networks,Midmarket,Active,CH,Zürich,Zürich,8001,Lindenweg,91,B3,CH-285,https://c002280.example,crm@c002280.example,TEST-002280,TEST-TAX-002280,Registered,CHF,de,Europe/Zurich,2013,1000+,100m+,B2,NET60,2021-12-15,2025-12-20,2026-08-03,Atlas CRM,Current,Team 3,CH,FR,High,Cleared,Project,2027-12,Dedicated,AMER,Strategic,Email,REF-2026,LEG-002280,Synthetic account
REF-003871,Kestrel Components Dubai FZCO,AE-SYN-003871,Kestrel Components Dubai FZCO,Kestrel Components,Kestrel Group,FZCO,Components,SMB,Active,AE,Dubai,Dubai,00000,Example Trade Park,90,B7,AE-879,https://c003871.example,crm@c003871.example,TEST-003871,TEST-TAX-003871,Exempt,AED,ar,Asia/Dubai,1992,1-10,<1m,B1,NET30,2016-07-15,2025-07-20,2026-07-03,Atlas CRM,Current,Team 1,AE,SE,Low,Review,Annual,2027-07,Standard,EMEA,Core,Portal,REF-2026,LEG-003871,Synthetic account
REF-000517,Corvell Materials Portland LLC,US-SYN-000517,Corvell Materials Portland LLC,Corvell Materials,Corvell Group,LLC,Materials,SMB,Active,US,Oregon,Portland,97201,Example Park,119,B11,US-516,https://c000517.example,crm@c000517.example,TEST-000517,TEST-TAX-000517,Exempt,USD,en,America/Los_Angeles,2018,11-50,1-5m,A1,NET30,2022-01-15,2025-01-20,2026-05-03,Atlas CRM,Current,Team 4,US,JP,Low,Cleared,Annual,2027-01,Standard,EMEA,Core,Portal,REF-2026,LEG-000517,Synthetic account
REF-003073,Société Élan Quenby Logistics Zürich AG,CH-SYN-003073,Société Élan Quenby Logistics Zürich AG,Quenby Logistics,Quenby Group,AG,Logistics,SMB,Active,CH,Zürich,Zürich,8001,Lindenweg,88,B14,CH-081,https://c003073.example,crm@c003073.example,TEST-003073,TEST-TAX-003073,Exempt,CHF,de,Europe/Zurich,1974,51-250,5-25m,A1,NET30,2016-01-15,2025-01-20,2026-01-03,Atlas CRM,Current,Team 4,CH,JP,Low,Cleared,Annual,2027-01,Standard,EMEA,Core,Portal,REF-2026,LEG-003073,Synthetic account
REF-004938,Flinora Research Göteborg AB,SE-SYN-004938,Flinora Research Göteborg AB,Flinora Research,Flinora Group,AB,Research,Midmarket,Active,SE,Västra Götaland,Göteborg,411 01,Verkstadsgatan,162,B16,SE-949,https://c004938.example,crm@c004938.example,TEST-004938,TEST-TAX-004938,Registered,SEK,sv,Europe/Stockholm,2019,51-250,5-25m,A2,NET60,2019-06-15,2025-06-20,2026-02-03,Atlas CRM,Current,Team 6,SE,IN,High,Cleared,Project,2027-06,Dedicated,AMER,Strategic,Email,REF-2026,LEG-004938,Synthetic account
REF-000124,Dalestra Research Göteborg AB,SE-SYN-000124,Dalestra Research Göteborg AB,Dalestra Research,Dalestra Group,AB,Research,SMB,Active,SE,Västra Götaland,Göteborg,411 01,Verkstadsgatan,124,B9,SE-123,https://c000124.example,crm@c000124.example,TEST-000124,TEST-TAX-000124,Registered,SEK,sv,Europe/Stockholm,1989,251-1000,25-100m,B2,NET30,2021-04-15,2025-04-20,2026-04-03,Atlas CRM,Current,Team 7,SE,BR,Low,Cleared,Annual,2027-04,Standard,EMEA,Core,Email,REF-2026,LEG-000124,Synthetic account
REF-005601,Everfen Textiles North Service Centre,DUP-SYN-000151,Everfen Textiles North Service Centre,Everfen Textiles,Everfen Textiles Holdings,AG,Equipment,Midmarket,Active,CH,Zürich,Zürich,8001,Lindenweg,29,B12,CH-615,https://group000150.example,crm@c005601.example,TEST-005601,TEST-TAX-005601,Registered,CHF,de,Europe/Zurich,2006,1-10,<1m,A1,NET60,2010-09-15,2025-09-20,2026-01-03,Atlas CRM,Current,Team 3,CH,SG,High,Cleared,Project,2027-09,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-005601,Synthetic account
REF-005996,Fallow Packaging Mérida SA,MX-SYN-005996,Fallow Packaging Mérida SA,Fallow Packaging,Fallow Group,SA,Packaging,Enterprise,Active,MX,Yucatán,Mérida,97000,Calle del Taller,26,B16,MX-013,https://c005996.example,crm@c005996.example,TEST-005996,TEST-TAX-005996,Registered,MXN,es,America/Merida,1985,1-10,<1m,B2,NET45,2013-08-15,2025-08-20,2026-04-03,Atlas CRM,On hold,Team 2,MX,MX,Medium,Cleared,Rolling,2027-08,Priority,APAC,Growth,Email,REF-2026,LEG-005996,Synthetic account
REF-000943,Ashmere Networks München GmbH,DE-SYN-000943,Ashmere Networks München GmbH,Ashmere Networks,Ashmere Group,GmbH,Networks,SMB,Active,DE,Bayern,München,80331,Industriestraße,147,B23,DE-942,https://c000943.example,crm@c000943.example,TEST-000943,TEST-TAX-000943,Exempt,EUR,de,Europe/Berlin,1976,51-250,5-25m,B1,NET30,2014-07-15,2025-07-20,2026-07-03,Atlas CRM,Current,Team 7,DE,SE,Low,Cleared,Annual,2027-07,Standard,EMEA,Core,Portal,REF-2026,LEG-000943,Synthetic account
REF-001371,Everfen Optics München GmbH,DE-SYN-001371,Everfen Optics München GmbH,Everfen Optics,Everfen Group,GmbH,Optics,Midmarket,Active,DE,Bayern,München,80331,Industriestraße,177,B14,DE-373,https://c001371.example,crm@c001371.example,TEST-001371,TEST-TAX-001371,Registered,EUR,de,Europe/Berlin,1988,1-10,<1m,B1,NET60,2022-03-15,2025-03-20,2026-03-03,Atlas CRM,Current,Team 3,DE,GB,High,Cleared,Project,2027-03,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-001371,Synthetic account
REF-001761,Aster Robotics Tōkyō KK,JP-SYN-001761,Aster Robotics Tōkyō KK,Aster Robotics,Aster Group,KK,Robotics,Midmarket,Active,JP,Kantō,Tōkyō,100-0001,Test Industrial Ave,169,B13,JP-763,https://c001761.example,crm@c001761.example,TEST-001761,TEST-TAX-001761,Registered,JPY,ja,Asia/Tokyo,2014,1-10,<1m,A1,NET60,2020-09-15,2025-09-20,2026-01-03,Atlas CRM,On hold,Team 6,JP,SG,High,Cleared,Project,2027-09,Dedicated,AMER,Strategic,Portal,REF-2026,LEG-001761,Synthetic account
REF-002146,Perevin Lighting Göteborg AB,SE-SYN-002146,Perevin Lighting Göteborg AB,Perevin Lighting,Perevin Group,AB,Lighting,SMB,Active,SE,Västra Götaland,Göteborg,411 01,Verkstadsgatan,156,B7,SE-151,https://c002146.example,crm@c002146.example,TEST-002146,TEST-TAX-002146,Registered,SEK,sv,Europe/Stockholm,1983,1-10,<1m,A2,NET30,2013-10-15,2025-10-20,2026-02-03,Atlas CRM,On hold,Team 4,SE,CH,Low,Cleared,Annual,2027-10,Standard,EMEA,Core,Email,REF-2026,LEG-002146,"Synthetic; multiline
CRM note"
REF-000550,Briarfen Logistics Dubai FZCO,AE-SYN-000550,Briarfen Logistics Dubai FZCO,Briarfen Logistics,Briarfen Group,FZCO,Logistics,SMB,Active,AE,Dubai,Dubai,00000,Example Trade Park,152,B21,AE-549,https://c000550.example,crm@c000550.example,TEST-000550,TEST-TAX-000550,Registered,AED,ar,Asia/Dubai,1999,1000+,100m+,A2,NET30,2013-10-15,2025-10-20,2026-06-03,Atlas CRM,Current,Team 1,AE,CH,Low,Review,Annual,2027-10,Standard,EMEA,Core,Email,REF-2026,LEG-000550,Synthetic account
REF-003527,Nørdlys Solmere Mobility Portland LLC,US-SYN-003527,Nørdlys Solmere Mobility Portland LLC,Solmere Mobility,Solmere Group,LLC,Mobility,Enterprise,Active,US,Oregon,Portland,97201,Example Park,144,B8,US-535,https://c003527.example,crm@c003527.example,TEST-003527,TEST-TAX-003527,Registered,USD,en,America/Los_Angeles,2012,11-50,1-5m,B1,NET45,2022-11-15,2025-11-20,2026-07-03,Atlas CRM,Current,Team 8,US,DE,Medium,Cleared,Rolling,2027-11,Priority,APAC,Growth,Portal,REF-2026,LEG-003527,Synthetic account
REF-000870,Briarfen Distribution Pune Pvt Ltd,IN-SYN-000870,Briarfen Distribution Pune Pvt Ltd,Briarfen Distribution,Briarfen Group,Pvt Ltd,Distribution,Midmarket,Active,IN,Maharashtra,Pune,411001,Sample Tech Road,74,B19,IN-869,https://c000870.example,crm@c000870.example,TEST-000870,TEST-TAX-000870,Registered,INR,en,Asia/Kolkata,2007,1000+,100m+,A2,NET60,2011-06-15,2025-06-20,2026-06-03,Atlas CRM,On hold,Team 6,IN,IN,High,Cleared,Project,2027-06,Dedicated,AMER,Strategic,Email,REF-2026,LEG-000870,Synthetic account
